PARAM_START
FORMAT:  SCIFI_GAIN
TYPE:    1
VERSION: 4
DATE:    170501
COMMENT: Dummy
         New value for 650V was newly added.
	 HV:    950   650    600   550      480    
	 GAIN:  1.0   0.819  0.05  0.02385  0.01
         The value for 650V is taken from the fitting of the other results.
PARAM_END

DATA_START
D  0  0  0   0  950 1.000000
D  0  0  0   1  950 1.000000
D  0  0  0   2  950 1.000000
D  0  0  0   3  950 1.000000
D  0  0  0   4  950 1.000000
D  0  0  0   5  950 1.000000
D  0  0  0   6  950 1.000000
D  0  0  0   7  950 1.000000
D  0  0  0   8  950 1.000000
D  0  0  0   9  950 1.000000
D  0  0  0  10  950 1.000000
D  0  0  0  11  950 1.000000
D  0  0  0  12  950 1.000000
D  0  0  0  13  950 1.000000
D  0  0  0  14  950 1.000000
D  0  0  0  15  950 1.000000
D  0  0  0  16  950 1.000000
D  0  0  0  17  950 1.000000
D  0  0  0  18  950 1.000000
D  0  0  0  19  950 1.000000
D  0  0  1   0  950 1.000000
D  0  0  1   1  950 1.000000
D  0  0  1   2  950 1.000000
D  0  0  1   3  950 1.000000
D  0  0  1   4  950 1.000000
D  0  0  1   5  950 1.000000
D  0  0  1   6  950 1.000000
D  0  0  1   7  950 1.000000
D  0  0  1   8  950 1.000000
D  0  0  1   9  950 1.000000
D  0  0  1  10  950 1.000000
D  0  0  1  11  950 1.000000
D  0  0  1  12  950 1.000000
D  0  0  1  13  950 1.000000
D  0  0  1  14  950 1.000000
D  0  0  1  15  950 1.000000
D  0  0  1  16  950 1.000000
D  0  0  1  17  950 1.000000
D  0  0  1  18  950 1.000000
D  0  0  1  19  950 1.000000
D  0  1  0   0  950 1.000000
D  0  1  0   1  950 1.000000
D  0  1  0   2  950 1.000000
D  0  1  0   3  950 1.000000
D  0  1  0   4  950 1.000000
D  0  1  0   5  950 1.000000
D  0  1  0   6  950 1.000000
D  0  1  0   7  950 1.000000
D  0  1  0   8  950 1.000000
D  0  1  0   9  950 1.000000
D  0  1  0  10  950 1.000000
D  0  1  0  11  950 1.000000
D  0  1  0  12  950 1.000000
D  0  1  0  13  950 1.000000
D  0  1  0  14  950 1.000000
D  0  1  0  15  950 1.000000
D  0  1  0  16  950 1.000000
D  0  1  0  17  950 1.000000
D  0  1  0  18  950 1.000000
D  0  1  0  19  950 1.000000
D  0  1  1   0  950 1.000000
D  0  1  1   1  950 1.000000
D  0  1  1   2  950 1.000000
D  0  1  1   3  950 1.000000
D  0  1  1   4  950 1.000000
D  0  1  1   5  950 1.000000
D  0  1  1   6  950 1.000000
D  0  1  1   7  950 1.000000
D  0  1  1   8  950 1.000000
D  0  1  1   9  950 1.000000
D  0  1  1  10  950 1.000000
D  0  1  1  11  950 1.000000
D  0  1  1  12  950 1.000000
D  0  1  1  13  950 1.000000
D  0  1  1  14  950 1.000000
D  0  1  1  15  950 1.000000
D  0  1  1  16  950 1.000000
D  0  1  1  17  950 1.000000
D  0  1  1  18  950 1.000000
D  0  1  1  19  950 1.000000
D  0  2  0   0  950 1.000000
D  0  2  0   1  950 1.000000
D  0  2  0   2  950 1.000000
D  0  2  0   3  950 1.000000
D  0  2  0   4  950 1.000000
D  0  2  0   5  950 1.000000
D  0  2  0   6  950 1.000000
D  0  2  0   7  950 1.000000
D  0  2  0   8  950 1.000000
D  0  2  0   9  950 1.000000
D  0  2  0  10  950 1.000000
D  0  2  0  11  950 1.000000
D  0  2  0  12  950 1.000000
D  0  2  0  13  950 1.000000
D  0  2  0  14  950 1.000000
D  0  2  0  15  950 1.000000
D  0  2  0  16  950 1.000000
D  0  2  0  17  950 1.000000
D  0  2  0  18  950 1.000000
D  0  2  0  19  950 1.000000
D  0  2  1   0  950 1.000000
D  0  2  1   1  950 1.000000
D  0  2  1   2  950 1.000000
D  0  2  1   3  950 1.000000
D  0  2  1   4  950 1.000000
D  0  2  1   5  950 1.000000
D  0  2  1   6  950 1.000000
D  0  2  1   7  950 1.000000
D  0  2  1   8  950 1.000000
D  0  2  1   9  950 1.000000
D  0  2  1  10  950 1.000000
D  0  2  1  11  950 1.000000
D  0  2  1  12  950 1.000000
D  0  2  1  13  950 1.000000
