PARAM_START
FORMAT:   SCIFI_POS_TABLE
VERSION:  2
TYPE:     2
DATA:     080408
COMMENT:  08Apr08: Added the information of the fibers position on MAPMT.
          The others eqaul that of "scifi_pos_table.dat".
          final version (maybe)
          #Ch #Tower #Layer #XY #Position
          !

          Y <---     _ Top
                |    /|
                V
                X
         
PARAM_END

DATA_START
  0 -1 -1 -1 -1  -1
  1 -1 -1 -1 -1  -1
  2 -1 -1 -1 -1  -1
  3 -1 -1 -1 -1  -1
  4  0  0  0 12 041
  5  0  0  0 10 049
  6  0  0  0 14 033
  7  0  0  0  8 057
  8  0  0  0  9 042
  9  0  0  0  7 050
 10  0  0  0 11 034
 11  0  0  0  5 058
 12  1  0  0  4 043
 13  1  0  0  2 051
 14  1  0  0  6 035
 15  1  0  0  0 059
 16  1  0  0 20 044
 17  1  0  0 18 052
 18  1  0  0 22 036
 19  1  0  0 16 060
 20  1  0  0 36 045
 21  1  0  0 34 053
 22  1  0  0 38 037
 23  1  0  0 32 061
 24  1  0  0 13 046
 25  1  0  0 11 054
 26  1  0  0 15 038
 27  1  0  0  9 062
 28  1  0  0 29 047
 29  1  0  0 27 055
 30  1  0  0 31 039
 31  1  0  0 25 063
 32  1  0  0 35 023
 33  1  0  0 37 015
 34  1  0  0 33 031
 35  1  0  0 39 007
 36  1  0  0 19 022
 37  1  0  0 21 014
 38  1  0  0 17 030
 39  1  0  0 23 006
 40  1  0  0  3 021
 41  1  0  0  5 013
 42  1  0  0  1 029
 43  1  0  0  7 005
 44  1  0  0 26 020
 45  1  0  0 28 012
 46  1  0  0 24 028
 47  1  0  0 30 004
 48  1  0  0 10 019
 49  1  0  0 12 011
 50  1  0  0  8 027
 51  1  0  0 14 003
 52  0  0  0 15 018
 53  0  0  0 17 010
 54  0  0  0 13 026
 55  0  0  0 19 002
 56  0  0  0 18 017
 57  0  0  0  1 009
 58  0  0  0 16 025
 59  0  0  0  3 001
 60  0  0  0  2 016
 61  0  0  0  4 008
 62  0  0  0  0 024
 63  0  0  0  6 000
 64  1  0  1 11 104
 65  1  0  1 13 112
 66  1  0  1  9 096
 67  1  0  1 15 120
 68  1  0  1 27 105
 69  1  0  1 29 113
 70  1  0  1 25 097
 71  1  0  1 31 121
 72  1  0  1  2 106
 73  1  0  1  4 114
 74  1  0  1  0 098
 75  1  0  1  6 122
 76  1  0  1 18 107
 77  1  0  1 20 115
 78  1  0  1 16 099
 79  1  0  1 22 123
 80  1  0  1 34 108
 81  1  0  1 36 116
 82  1  0  1 32 100
 83  1  0  1 38 124
 84  0  0  1 11 109
 85  0  0  1 13 117
 86  0  0  1  9 101
 87  0  0  1 15 125
 88  0  0  1  6 110
 89  0  0  1  8 118
 90  0  0  1  4 102
 91  0  0  1 10 126
 92 -1 -1 -1 -1  -1
 93 -1 -1 -1 -1  -1
 94 -1 -1 -1 -1  -1
 95 -1 -1 -1 -1  -1
 96  0  0  1 16 087
 97  0  0  1 14 079
 98  0  0  1 18 095
 99  0  0  1 12 071
100  0  0  1  0 086
101  0  0  1 19 078
102  0  0  1  2 094
103  0  0  1 17 070
104  0  0  1  5 085
105  0  0  1  3 077
106  0  0  1  7 093
107  0  0  1  1 069
108  1  0  1 28 084
109  1  0  1 26 076
110  1  0  1 30 092
111  1  0  1 24 068
112  1  0  1 12 083
113  1  0  1 10 075
