PARAM_START
FORMAT:  ADCRANGE
TYPE:    1
VERSION: 0
DATE:    080307
COMMENT: Dummy Table for ADCRange
PARAM_END

DATA_START
ADC   0  0     0.000    8.000 
ADC   0  1     0.000    8.000 
ADC   0  2     0.000    8.000 
ADC   0  3     0.000    8.000 
ADC   0  4     0.000    8.000 
ADC   0  5     0.000    8.000 
ADC   0  6     0.000    8.000 
ADC   0  7     0.000    8.000 
ADC   0  8     0.000    8.000 
ADC   0  9     0.000    8.000 
ADC   0 10     0.000    8.000 
ADC   0 11     0.000    8.000 
ADC   0 12     0.000    8.000 
ADC   0 13     0.000    8.000 
ADC   0 14     0.000    8.000 
ADC   0 15     0.000    8.000 
ADC   1  0     0.000    8.000 
ADC   1  1     0.000    8.000 
ADC   1  2     0.000    8.000 
ADC   1  3     0.000    8.000 
ADC   1  4     0.000    8.000 
ADC   1  5     0.000    8.000 
ADC   1  6     0.000    8.000 
ADC   1  7     0.000    8.000 
ADC   1  8     0.000    8.000 
ADC   1  9     0.000    8.000 
ADC   1 10     0.000    8.000 
ADC   1 11     0.000    8.000 
ADC   1 12     0.000    8.000 
ADC   1 13     0.000    8.000 
ADC   1 14     0.000    8.000 
ADC   1 15     0.000    8.000 
ADC   2  0     0.000    8.000 
ADC   2  1     0.000    8.000 
ADC   2  2     0.000    8.000 
ADC   2  3     0.000    8.000 
ADC   2  4     0.000    8.000 
ADC   2  5     0.000    8.000 
ADC   2  6     0.000    8.000 
ADC   2  7     0.000    8.000 
ADC   2  8     0.000    8.000 
ADC   2  9     0.000    8.000 
ADC   2 10     0.000    8.000 
ADC   2 11     0.000    8.000 
ADC   2 12     0.000    8.000 
ADC   2 13     0.000    8.000 
ADC   2 14     0.000    8.000 
ADC   2 15     0.000    8.000 
ADC   3  0     0.000    8.000 
ADC   3  1     0.000    8.000 
ADC   3  2     0.000    8.000 
ADC   3  3     0.000    8.000 
ADC   3  4     0.000    8.000 
ADC   3  5     0.000    8.000 
ADC   3  6     0.000    8.000 
ADC   3  7     0.000    8.000 
ADC   3  8     0.000    8.000 
ADC   3  9     0.000    8.000 
ADC   3 10     0.000    8.000 
ADC   3 11     0.000    8.000 
ADC   3 12     0.000    8.000 
ADC   3 13     0.000    8.000 
ADC   3 14     0.000    8.000 
ADC   3 15     0.000    8.000 
DATA_END
