PARAM_START
FORMAT_TYPE: SCINTI_POSITION
FORMAT: 001
VERSION: 003
DATE: 080402
PERSON: Watanabe Hironori
COMMENT: only 3 data were modified by H.MENJO
        32mm-06
	32mm-13
	32mm-12
PARAM_END

FORMAT_START
NDATA: 10
A  #D  #SS #S #S-No  #C0 #C1 #C2 #C3 #C4 #C5 #C6 #C7 #C8 #C9
FORMAT_END

DATA_START
 
A 0 40 0 14 161.772  0.565998  0.000197251  -0.000515615  -1.86117    -0.0524606  0.000961568   0.00590873  0.00146543   -0.00208512
A 0 40 0 0  192.117  0.744599  -0.00242817  -0.000595317  -1.91147    -0.0577379  -0.00050003   0.0129523   0.00327295   -0.00256169
A 0 40 0 1  166.267  0.501251  -0.0050413   -0.000438048  -1.58811    -0.0600212  0.000304976   0.00720341  0.00214261   -0.00223724
A 0 40 0 13 169.379  0.629392  -0.0139202   -0.00138056   -1.56202    -0.0562123  -0.000450428  0.0209815   0.0023741    -0.00258366
A 0 40 0 15 195.058  0.851481  -0.00903771  -0.000971965  -2.41882    -0.0768027  0.00127692    0.0243524   0.00252596   -0.0033077
A 0 40 0 10 184.509  0.517864  -0.00537348  -0.000634413  -1.5897     -0.0712967  -0.000231305  0.0195208   0.00232921   -0.00265815
A 0 40 0 2  187.214  0.65083   -0.00558869  -0.00100421   -1.86885    -0.0662297  0.00019302    0.0209971   0.00220954   -0.00243031
A 0 40 0 11 166.979  0.79457   0.00716632   -0.000407731  -1.55058    -0.0639515  -0.000142929  0.0121481   0.00146833   -0.00265212
A 0 40 0 12 146.694  0.519413  0.0079417    -0.000125485  -1.1806     -0.0630336  -0.000773734  0.0104909   0.00190158   -0.00214024
A 0 40 0 4  159.642  0.742051  0.00368376   -0.000474675  -1.6681     -0.0527228  0.000448045   0.00636718  0.00163707   -0.00268717
A 0 40 0 3  158.582  0.576165  -0.00324619  -0.000277381  -1.05376    -0.0674766  -0.000638792  0.024123    0.00184894   -0.00279439
A 0 40 0 8  155.559  0.483491  -0.00605634  -0.000473657  -1.29973    -0.0532622  0.000219911   0.0178316   0.00151154   -0.00237844
A 0 40 0 9  105.865  0.430306  -0.00143015  -0.000240492  -1.20897    -0.0473403  0.000397      0.00741891  0.00125066   -0.00198935
A 0 40 0 5  155.483  0.457482  -0.00297828  -0.000503093  -1.33266    -0.0524326  -0.000128665  0.0113939   0.00166331   -0.00211967
A 0 40 0 6  153.467  0.622963  -0.00745118  -0.000670197  -1.70444    -0.054846   0.000870194   0.0102177   0.00148039   -0.00209843
A 0 40 0 7  137.963  0.696891  0.00294764   -0.000877445  -1.39066    -0.0559872  7.31117e-05   0.0104528   0.00192559   -0.00190834
A 0 20 1 12 159.734  1.00066   -0.0354467   -0.00261021    0.851708    -0.125406  -0.00897754   0.0541125   0.000561188  -0.0312251
A 0 20 1 0  130.427  0.612062  -0.0236177  -0.0100326     -0.0586768  -0.0940024  0.00229053    0.0208039   -0.00136507  -0.0105886
A 0 20 1 1  143.991  1.04551   -0.0427459  -0.00357282    0.741459    -0.0910022  -0.00803616   0.00412973  -0.00584509  -0.0276738
A 0 20 1 14 133.247  0.877919  -0.036      -0.0028813     0.770789    -0.0774181  -0.00578847   0.00377963  -0.0022242   -0.0262692
A 0 20 1 15 151.461  0.852898  -0.0611306  -0.00458147    -0.530413   -0.123472   0.00242826    0.017435    0.00142645   -0.0236964
A 1 20 1 9  139.763  0.72546   -0.0222016  -0.00117128    0.399769    -0.106696   0.0013712    -0.00174362  -0.00025239  -0.0244999
A 0 20 1 2  117.076  0.385776  -0.0530543  0.00320036     0.354755    -0.0730717  -0.00331268   0.0379636   -0.00745724  -0.0190995
A 0 20 1 10 119.01   0.660322  -0.032471   -0.00329878    0.700651    -0.0880935  -0.00878817   -0.0235455  -0.00106304  -0.0154548
A 0 20 1 11 111.742  0.511328  -0.0357512  0.00093895     0.783142    -0.0490837  -0.00568634   0.027325    -0.00370947  -0.0182681
A 0 20 1 3  111.813  0.644795  -0.0263799  -0.0021548     0.84833     -0.0765776  -0.00784446   0.00494992  0.00456764   -0.0190819
A 0 20 1 4  127.078  1.04174   -0.0271571  -0.00360454    0.145148    -0.126506   0.00178387    -0.0288379  -0.00166228  -0.0299821
A 0 20 1 6  150.368  0.487962  -0.049239   0.00863536     -0.0627223  -0.167807   0.00912263    0.0256368   -0.00358353  -0.0265433
A 0 20 1 7  98.7695  0.664489  -0.0192174  -0.00141078    0.0899781   -0.105607   -0.000499857  -0.0251025  -0.00326547  -0.0211945
A 0 20 1 5  127.569  0.567083  0.0106385   0.0043842      0.0221613   -0.12053    0.00274944    0.0145504   -0.000257128 -0.0242588
A 0 20 1 8  125.054  0.308937  -0.050039   -0.00259403    0.767172    -0.0935168  -0.00548315   0.0467024   0.00639259   -0.0129197
A 0 20 1 13 137.842  0.60364   -0.0160183  0.00139162     -1.16544    -0.132794   0.0103707     -0.0207676  0.00334242   -0.0249683
A 1 32 2 1  120.149  0.54791   -0.0029394  -0.00054764    0.286461    -0.0330332  -0.00068382   0.00848981  -0.000369597 -0.00574963
A 1 32 2 0  128.321  0.470419  -0.00798699 0.000368028    0.379127    -0.0312086  -0.00083052   0.00374964  0.000511913  -0.00535836
